 
[*] Checkpoint   = epoch.ckpt
[*] Input video  = trial.mp4
[*] Output video = trial_output.mp4
[✓] Docker image 'segformer' already exists. Skipping build.
Downloading:   0% 0.00/6.72k [00:00<?, ?B/s]Downloading: 100% 6.72k/6.72k [00:00<00:00, 5.89MB/s]
Downloading:   0% 0.00/271 [00:00<?, ?B/s]Downloading: 100% 271/271 [00:00<00:00, 214kB/s]
[Frame 1] FPS: 4.52
[Frame 2] FPS: 6.40
[Frame 3] FPS: 6.55
[Frame 4] FPS: 6.71
[Frame 5] FPS: 6.81
[Frame 6] FPS: 6.54
[Frame 7] FPS: 6.71
[Frame 8] FPS: 5.82
[Frame 9] FPS: 5.85
[Frame 10] FPS: 6.09
[Frame 11] FPS: 6.89
[Frame 12] FPS: 6.31
[Frame 13] FPS: 6.08
[Frame 14] FPS: 5.96
[Frame 15] FPS: 5.96
[Frame 16] FPS: 6.56
[Frame 17] FPS: 6.34
[Frame 18] FPS: 6.18
[Frame 19] FPS: 6.21
[Frame 20] FPS: 6.92
[Frame 21] FPS: 7.39
[Frame 22] FPS: 6.06
[Frame 23] FPS: 6.46
[Frame 24] FPS: 6.47
[Frame 25] FPS: 6.15
[Frame 26] FPS: 6.97
[Frame 27] FPS: 6.59
[Frame 28] FPS: 6.17
[Frame 29] FPS: 6.20
[Frame 30] FPS: 6.29
[Frame 31] FPS: 6.12
[Frame 32] FPS: 5.99
[Frame 33] FPS: 6.30
[Frame 34] FPS: 6.16
[Frame 35] FPS: 6.26
[Frame 36] FPS: 6.49
[Frame 37] FPS: 6.33
[Frame 38] FPS: 6.26
[Frame 39] FPS: 6.29
[Frame 40] FPS: 6.54
[Frame 41] FPS: 6.22
[Frame 42] FPS: 5.97
[Frame 43] FPS: 6.37
[Frame 44] FPS: 5.87
[Frame 45] FPS: 6.19
[Frame 46] FPS: 6.51
[Frame 47] FPS: 6.38
[Frame 48] FPS: 6.05
[Frame 49] FPS: 6.50
[Frame 50] FPS: 6.15
[Frame 51] FPS: 6.11
[Frame 52] FPS: 6.60
[Frame 53] FPS: 6.54
[Frame 54] FPS: 6.43
[Frame 55] FPS: 6.73
[Frame 56] FPS: 6.28
[Frame 57] FPS: 6.38
[Frame 58] FPS: 6.42
[Frame 59] FPS: 7.82
[Frame 60] FPS: 7.29
[Frame 61] FPS: 7.15
[Frame 62] FPS: 6.42
[Frame 63] FPS: 6.17
[Frame 64] FPS: 7.54
[Frame 65] FPS: 7.63
[Frame 66] FPS: 6.00
[Frame 67] FPS: 7.58
[Frame 68] FPS: 7.28
[Frame 69] FPS: 6.74
[Frame 70] FPS: 6.44
[Frame 71] FPS: 6.08
[Frame 72] FPS: 6.49
[Frame 73] FPS: 6.40
[Frame 74] FPS: 6.55
[Frame 75] FPS: 6.20
[Frame 76] FPS: 6.10
[Frame 77] FPS: 6.04
[Frame 78] FPS: 6.32
[Frame 79] FPS: 6.54
[Frame 80] FPS: 6.13
[Frame 81] FPS: 6.46
[Frame 82] FPS: 7.58
[Frame 83] FPS: 6.40
[Frame 84] FPS: 6.56
[Frame 85] FPS: 6.70
[Frame 86] FPS: 6.42
[Frame 87] FPS: 6.48
[Frame 88] FPS: 5.53
[Frame 89] FPS: 6.07
[Frame 90] FPS: 6.27
[Frame 91] FPS: 6.05
[Frame 92] FPS: 6.05
[Frame 93] FPS: 6.54
[Frame 94] FPS: 6.95
[Frame 95] FPS: 7.22
[Frame 96] FPS: 6.34
[Frame 97] FPS: 6.77
[Frame 98] FPS: 6.51
[Frame 99] FPS: 6.42
[Frame 100] FPS: 6.41
[Frame 101] FPS: 5.68
[Frame 102] FPS: 6.38
[Frame 103] FPS: 6.82
[Frame 104] FPS: 6.52
[Frame 105] FPS: 6.28
[Frame 106] FPS: 6.33
[Frame 107] FPS: 7.20
[Frame 108] FPS: 6.07
[Frame 109] FPS: 6.32
[Frame 110] FPS: 6.47
[Frame 111] FPS: 6.87
[Frame 112] FPS: 6.34
[Frame 113] FPS: 6.11
[Frame 114] FPS: 5.61
[Frame 115] FPS: 6.51
[Frame 116] FPS: 6.38
[Frame 117] FPS: 6.44
[Frame 118] FPS: 7.11
[Frame 119] FPS: 7.45
[Frame 120] FPS: 6.62
[Frame 121] FPS: 6.87
[Frame 122] FPS: 6.36
[Frame 123] FPS: 6.43
[Frame 124] FPS: 5.97
[Frame 125] FPS: 7.20
[Frame 126] FPS: 5.99
[Frame 127] FPS: 5.96
[Frame 128] FPS: 6.02
[Frame 129] FPS: 6.62
[Frame 130] FPS: 6.22
[Frame 131] FPS: 6.86
[Frame 132] FPS: 6.01
[Frame 133] FPS: 6.51
[Frame 134] FPS: 7.37
[Frame 135] FPS: 6.94
[Frame 136] FPS: 7.31
[Frame 137] FPS: 6.22
[Frame 138] FPS: 6.16
[Frame 139] FPS: 6.85
[Frame 140] FPS: 6.05
[Frame 141] FPS: 6.61
[Frame 142] FPS: 5.80
[Frame 143] FPS: 6.33
[Frame 144] FPS: 5.82
[Frame 145] FPS: 6.60
[Frame 146] FPS: 6.51
[Frame 147] FPS: 6.77
[Frame 148] FPS: 6.09
[Frame 149] FPS: 6.55
[Frame 150] FPS: 6.08
[Frame 151] FPS: 7.09
[Frame 152] FPS: 6.17
[Frame 153] FPS: 5.67
[Frame 154] FPS: 6.09
[Frame 155] FPS: 6.15
[Frame 156] FPS: 7.23
[Frame 157] FPS: 5.90
[Frame 158] FPS: 6.42
[Frame 159] FPS: 5.71
[Frame 160] FPS: 6.10
[Frame 161] FPS: 6.29
[Frame 162] FPS: 6.15
[Frame 163] FPS: 5.92
[Frame 164] FPS: 6.41
[Frame 165] FPS: 6.20
[Frame 166] FPS: 5.33
[Frame 167] FPS: 6.06
[Frame 168] FPS: 6.52
[Frame 169] FPS: 6.32
[Frame 170] FPS: 6.16
[Frame 171] FPS: 6.26
[Frame 172] FPS: 6.21
[Frame 173] FPS: 6.59
[Frame 174] FPS: 6.41
[Frame 175] FPS: 6.42
